dog,condition,choice,test_trial_number,first_trial_fam..1.yes..followed.communicator.,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
1,True_Belief,baited,7,1,displacement,blue,7,f,collie,1,LL,GPL,0
2,True_Belief,baited,7,1,displacement,brown,2,f,white_swiss_shepherd,1,LL,GPL,0
3,False_Belief,baited,7,1,displacement,blue,3,m,white_swiss_shepherd,1,LL,GPL,0
4,True_Belief,baited,7,1,no_displacement,brown,1,m,border_collie,1,LL,GPL,0
5,False_Belief,baited,9,1,displacement,blue,2,m,australian_shepherd,1,LL,GPL,0
6,False_Belief,baited,7,1,no_displacement,brown,5,m,golden_retriever,8,LL,GPL,0
7,False_Belief,baited,7,1,displacement,blue,1,m,swiss_hound,6,LL,GPL,0
8,True_Belief,baited,7,1,displacement,blue,1,f,labrador_retriever,8,LL,LB,0
9,False_Belief,empty,9,1,no_displacement,brown,5,m,border_collie,1,LL,LB,1
10,False_Belief,baited,7,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,LL,GPL,0
11,False_Belief,empty,7,1,displacement,blue,10,m,chesapeake_bay_retriever,8,LL,GPL,1
12,True_Belief,empty,7,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,LL,GPL,1
13,True_Belief,baited,7,1,no_displacement,blue,6,m,australian_shepherd,1,LL,GPL,0
14,True_Belief,empty,7,1,no_displacement,blue,3,f,border_collie,1,LL,GPL,1
15,True_Belief,baited,7,1,no_displacement,blue,0.83,f,australian_shepherd,1,LL,GPL,0
16,False_Belief,empty,7,1,displacement,brown,10,m,german_shepherd,1,LL,GPL,1
17,False_Belief,baited,9,1,displacement,blue,3,m,collie,1,LL,EPA,0
18,True_Belief,empty,9,1,displacement,brown,9,f,border_collie,1,LL,AH,1
19,True_Belief,empty,7,1,no_displacement,blue,0.42,f,german_shepherd,1,LL,EPA,1
20,True_Belief,empty,11,1,displacement,brown,5,m,belgian_shepherd,1,LL,EPA,1
21,False_Belief,baited,7,1,displacement,brown,3,f,white_swiss_shepherd,1,LL,AH,0
22,True_Belief,baited,7,1,no_displacement,brown,11,f,border_collie,1,LL,GPL,0
23,False_Belief,empty,11,1,no_displacement,brown,4,f,flat_coated_retriever,8,LL,GPL,1
24,False_Belief,empty,7,1,displacement,blue,0.67,f,border_collie,1,LL,GPL,1
25,False_Belief,baited,9,1,displacement,blue,6,m,belgian_shepherd,1,LL,GPL,0
26,False_Belief,empty,7,1,no_displacement,brown,7,f,border_collie,1,LL,GPL,1
27,True_Belief,baited,9,1,no_displacement,brown,11,f,labrador_retriever,8,LL,GPL,0
28,False_Belief,baited,7,1,no_displacement,blue,7,f,australian_shepherd,1,LL,GPL,0
29,True_Belief,baited,7,1,displacement,brown,7,m,beagle,6,LL,GPL,0
30,False_Belief,empty,10,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,1
31,False_Belief,baited,7,1,displacement,brown,4,f,border_collie,1,LL,SV,0
32,True_Belief,baited,7,1,no_displacement,brown,7,m,vizsla,7,LL,SV,0
33,True_Belief,empty,9,1,no_displacement,blue,10,m,border_collie,1,LL,SV,1
34,True_Belief,baited,7,1,no_displacement,brown,1,m,saluki,10,LL,GP,0
35,False_Belief,baited,7,1,no_displacement,brown,4,f,siberian_husky,5,LL,GP,0
36,True_Belief,empty,9,0,displacement,blue,7,m,labrador_retriever,8,LL,GP,1
37,True_Belief,empty,7,1,no_displacement,blue,4,f,parson_russell_terrier,3,LL,GP,1
38,True_Belief,baited,7,1,displacement,brown,2,m,shetland_sheepdog,1,LL,GP,0
39,True_Belief,empty,9,1,displacement,brown,6,f,australian_shepherd,1,LL,SV,1
40,False_Belief,empty,7,1,no_displacement,blue,6,f,shetland_sheepdog,1,LL,SV,1
41,True_Belief,baited,7,1,no_displacement,brown,5,m,german_shepherd,1,LL,SV,0
42,True_Belief,empty,7,1,no_displacement,blue,4,f,shetland_sheepdog,1,LL,SV,1
43,False_Belief,empty,7,1,no_displacement,brown,5,m,labrador_retriever,8,LL,SV,1
44,False_Belief,empty,9,1,displacement,brown,1,f,labrador_retriever,8,LL,SV,1
45,False_Belief,empty,9,1,displacement,blue,4,f,labrador_retriever,8,LL,SV,1
46,True_Belief,baited,7,1,no_displacement,blue,5,m,siberian_husky,5,LL,SV,0
47,False_Belief,empty,7,1,no_displacement,brown,4,m,shetland_sheepdog,1,LL,SV,1
48,False_Belief,baited,7,1,no_displacement,blue,3,f,beagle,6,LL,GPL,0
49,False_Belief,baited,7,1,no_displacement,blue,5,m,fox_terrier,3,LL,GP,0
50,False_Belief,empty,9,1,no_displacement,blue,10,m,whippet,10,LL,GPL,1
51,False_Belief,baited,7,1,displacement,blue,5,f,border_collie,1,LL,SV,0
52,True_Belief,baited,7,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,0
53,True_Belief,baited,7,1,displacement,brown,12,f,labrador_retriever,8,LL,SV,0
54,True_Belief,baited,11,0,displacement,brown,7,f,golden_retriever,8,LL,SV,0
55,True_Belief,baited,7,1,no_displacement,blue,4,m,golden_retriever,8,LL,SV,0
56,False_Belief,empty,7,1,displacement,brown,1,f,airedale_terrier,3,LL,SV,1
57,True_Belief,baited,7,1,displacement,brown,9,f,shetland_sheepdog,1,LL,GP,0
58,True_Belief,empty,7,1,displacement,blue,7,f,shetland_sheepdog,1,LL,GP,1
59,False_Belief,baited,7,1,no_displacement,brown,1,m,border_collie,1,LL,GP,0
60,True_Belief,empty,7,1,no_displacement,blue,7,f,coonhound,6,LL,SV,1
61,False_Belief,baited,7,1,displacement,brown,5,f,parson_russell_terrier,3,LL,SV,0
62,True_Belief,baited,9,1,displacement,blue,5,m,irish_setter,7,LL,SV,0
63,False_Belief,empty,7,1,no_displacement,blue,4,f,vizsla,7,LL,SV,1
64,True_Belief,empty,7,1,no_displacement,brown,2,f,australian_shepherd,1,LL,SV,1
65,False_Belief,empty,9,1,displacement,brown,5,f,australian_shepherd,1,LL,SV,1
66,True_Belief,baited,7,1,displacement,blue,10,f,spanish_greyhound,10,LL,SV,0
67,False_Belief,empty,7,1,no_displacement,brown,8,f,beagle,6,LL,SV,1
68,False_Belief,baited,7,1,displacement,brown,7,m,vizsla,7,LL,SV,0
69,True_Belief,baited,7,1,displacement,blue,7,m,giant_schnauzer,2,LL,SV,0
70,True_Belief,baited,7,1,displacement,brown,5,m,weimaraner,7,LL,GP,0
71,False_Belief,empty,9,1,no_displacement,blue,0.83,m,weimaraner,7,LL,GP,1
72,False_Belief,baited,7,0,no_displacement,blue,10,f,saluki,10,LL,GP,0
73,False_Belief,baited,9,1,displacement,blue,9,f,saluki,10,LL,GP,0
74,True_Belief,baited,7,1,displacement,brown,4,f,vizsla,7,LL,GP,0
75,False_Belief,baited,7,1,no_displacement,brown,11,m,bernese_mountain_dog,2,LL,JK,0
76,True_Belief,baited,10,0,no_displacement,blue,8,f,bullmastiff,2,LL,JK,0
77,False_Belief,baited,7,1,no_displacement,blue,10,f,german_shepherd,1,LL,JK,0
78,False_Belief,empty,7,1,displacement,blue,1,m,irish_setter,7,LL,JK,1
79,True_Belief,empty,7,1,displacement,blue,9,f,samoyed,5,LL,SV,1
80,False_Belief,empty,7,1,displacement,brown,1,f,rhodesian_ridgeback,6,LL,SV,1
81,True_Belief,empty,7,1,no_displacement,brown,2,f,rhodesian_ridgeback,6,LL,SV,1
82,True_Belief,baited,7,1,displacement,brown,1,f,beagle,6,SV,LL,0
83,False_Belief,empty,7,1,no_displacement,brown,4,m,rottweiler,2,SV,LL,1
84,True_Belief,baited,7,1,displacement,brown,11,m,golden_retriever,8,SV,LL,0
85,False_Belief,baited,9,1,no_displacement,blue,2,f,white_swiss_shepherd,1,SV,LL,0
86,True_Belief,empty,9,1,displacement,brown,4,f,white_swiss_shepherd,1,SV,LL,1
87,True_Belief,baited,7,1,no_displacement,blue,9,f,white_swiss_shepherd,1,SV,LL,0
88,False_Belief,baited,7,1,displacement,blue,2,f,parson_russell_terrier,3,SV,LL,0
89,False_Belief,baited,7,1,displacement,blue,10,f,rhodesian_ridgeback,6,SV,LL,0
90,True_Belief,baited,9,1,no_displacement,blue,11,m,rhodesian_ridgeback,6,SV,LL,0
91,True_Belief,baited,7,1,displacement,blue,7,f,rhodesian_ridgeback,6,LL,JK,0
92,False_Belief,empty,7,1,displacement,brown,0.42,m,borzoi,10,LL,JK,1
93,True_Belief,empty,7,1,displacement,brown,7,m,rhodesian_ridgeback,6,LL,JK,1
94,True_Belief,baited,7,1,displacement,blue,9,f,whippet,10,LL,JK,0
95,False_Belief,empty,7,1,displacement,brown,6,f,whippet,10,LL,JK,1
96,True_Belief,baited,7,1,no_displacement,blue,9,m,flat_coated_retriever,8,JK,LL,0
97,False_Belief,empty,7,1,no_displacement,brown,6,m,irish_setter,7,JK,LL,1
98,True_Belief,baited,7,1,no_displacement,blue,14,f,golden_retriever,8,JK,LL,0
99,False_Belief,baited,7,1,no_displacement,blue,6,f,labrador_retriever,8,JK,LL,0
100,False_Belief,baited,7,1,no_displacement,blue,3,m,hovawart,2,JK,LL,0
101,True_Belief,baited,7,1,no_displacement,blue,8,m,hovawart,2,JK,LL,0
102,True_Belief,baited,9,1,displacement,blue,5,m,beagle,6,JK,LL,0
103,True_Belief,baited,7,1,displacement,blue,5,m,bernese_mountain_dog,2,JK,LL,0
104,False_Belief,baited,9,1,displacement,blue,4,f,siberian_husky,5,JK,LL,0
105,True_Belief,baited,7,1,displacement,brown,5,f,siberian_husky,5,JK,LL,0
106,True_Belief,baited,7,1,no_displacement,brown,0.5,m,bernese_mountain_dog,2,JK,LL,0
107,False_Belief,baited,7,1,no_displacement,brown,9,f,bernese_mountain_dog,2,JK,LL,0
108,False_Belief,baited,7,1,displacement,blue,9,m,irish_setter,7,JK,LL,0
109,False_Belief,empty,9,1,displacement,blue,2,m,hovawart,2,JK,LL,1
110,False_Belief,empty,7,1,no_displacement,brown,10,f,hungarian_greyhound,10,JK,LL,1
111,False_Belief,baited,7,1,no_displacement,brown,8,f,hovawart,2,JK,LL,0
112,True_Belief,baited,7,1,no_displacement,brown,4,f,hovawart,2,JK,LL,0
113,True_Belief,baited,7,1,no_displacement,blue,2,f,rottweiler,2,JK,LL,0
114,True_Belief,baited,9,1,no_displacement,brown,1,f,irish_setter,7,BM,JK,0
115,True_Belief,baited,7,1,no_displacement,blue,5,f,irish_setter,7,BM,JK,0
116,True_Belief,baited,7,1,displacement,brown,5,m,english_setter,7,BM,JK,0
117,False_Belief,empty,7,1,no_displacement,brown,1,f,english_setter,7,BM,JK,1
118,False_Belief,empty,9,1,no_displacement,brown,1,m,boxer,2,JK,LL,1
119,True_Belief,baited,7,1,no_displacement,brown,4,m,akita_inu,5,JK,LL,0
120,True_Belief,empty,7,1,displacement,brown,2,f,whippet,10,JK,LL,1
121,True_Belief_Control,baited,7,1,no_displacement,blue,2,m,beagle,6,LL,VS,0
122,True_Belief_Control,baited,9,1,displacement,brown,3,f,beagle,6,LL,VS,0
123,True_Belief_Control,baited,9,1,no_displacement,brown,8,f,bulldog,2,LL,VS,0
124,True_Belief_Control,baited,9,1,no_displacement,blue,6,f,bernese_mountain_dog,2,LL,VS,0
125,True_Belief_Control,empty,9,1,no_displacement,brown,5,m,vizsla,7,LL,VS,1
126,True_Belief_Control,baited,9,1,no_displacement,blue,2,f,beagle,6,LL,AE,0
127,True_Belief_Control,baited,9,1,displacement,blue,3,m,vizsla,7,LL,AE,0
128,True_Belief_Control,empty,7,1,no_displacement,blue,0.92,f,vizsla,7,LL,AE,1
129,True_Belief_Control,empty,7,1,displacement,brown,0.42,m,german_shepherd,1,LL,AE,1
130,True_Belief_Control,baited,7,1,displacement,brown,10,f,vizsla,7,LL,AE,0
131,True_Belief_Control,empty,7,1,displacement,brown,5,m,golden_retriever,8,LL,AE,1
132,True_Belief_Control,baited,7,1,no_displacement,blue,1,m,labrador_retriever,8,LL,VS,0
133,True_Belief_Control,baited,7,1,displacement,blue,3,f,border_collie,1,LL,VS,0
134,True_Belief_Control,empty,7,1,no_displacement,brown,5,f,australian_shepherd,1,LL,VS,1
135,True_Belief_Control,baited,7,1,displacement,brown,2,f,labrador_retriever,8,LL,AE,0
136,True_Belief_Control,baited,7,1,displacement,blue,4,f,australian_shepherd,1,LL,AE,0
137,True_Belief_Control,empty,9,1,no_displacement,blue,2,f,australian_shepherd,1,LL,AE,1
138,True_Belief_Control,empty,7,1,no_displacement,blue,5,m,german_shepherd,1,LL,VS,1
139,True_Belief_Control,empty,7,1,no_displacement,brown,3,f,siberian_husky,5,LL,VS,1
140,True_Belief_Control,baited,7,1,displacement,blue,3,m,siberian_husky,5,LL,VS,0
141,True_Belief_Control,empty,7,1,displacement,blue,5,f,rottweiler,2,LL,VS,1
142,True_Belief_Control,baited,7,1,displacement,brown,8,m,labrador_retriever,8,LL,VS,0
143,True_Belief_Control,baited,9,1,displacement,brown,9,f,jack_russell_terrier,3,LL,VS,0
144,True_Belief_Control,baited,9,1,no_displacement,blue,4,f,labrador_retriever,8,LL,VS,0
145,True_Belief_Control,baited,7,1,no_displacement,brown,0.67,m,belgian_shepherd,1,LL,AE,0
146,True_Belief_Control,baited,7,1,displacement,blue,4,f,samoyed,5,LL,AE,0
147,True_Belief_Control,empty,7,1,no_displacement,blue,2,f,siberian_husky,5,LL,AE,1
148,True_Belief_Control,baited,7,1,displacement,blue,0.83,f,border_collie,1,LL,AE,0
149,True_Belief_Control,baited,7,1,displacement,brown,3,m,labrador_retriever,8,LL,AE,0
150,True_Belief_Control,empty,9,1,no_displacement,blue,3,m,labrador_retriever,8,LL,AE,1
151,True_Belief_Control,baited,7,1,no_displacement,brown,1,m,border_collie,1,LL,AE,0
152,True_Belief_Control,baited,7,1,no_displacement,brown,7,m,shetland_sheepdog,1,LL,VS,0
153,True_Belief_Control,baited,7,1,displacement,blue,2,m,shetland_sheepdog,1,LL,VS,0
154,True_Belief_Control,empty,7,1,no_displacement,brown,0.67,m,labrador_retriever,8,LL,VS,1
155,True_Belief_Control,baited,7,1,no_displacement,brown,7,f,australian_shepherd,1,LL,VS,0
156,True_Belief_Control,baited,9,1,displacement,blue,4,m,australian_shepherd,1,LL,VS,0
157,True_Belief_Control,baited,7,1,displacement,blue,9,m,white_swiss_shepherd,1,LL,VS,0
158,True_Belief_Control,baited,9,1,displacement,brown,9,f,whippet,10,LL,VS,0
159,True_Belief_Control,baited,9,1,displacement,brown,10,m,rhodesian_ridgeback,6,LL,AE,0
160,True_Belief_Control,empty,9,1,no_displacement,brown,2,f,border_collie,1,LL,AE,1
161,True_Belief_Control,baited,7,1,displacement,brown,8,f,irish_setter,7,LL,VS,0
162,True_Belief_Control,baited,7,1,displacement,blue,7,f,shetland_sheepdog,1,LL,AE,0
163,True_Belief_Control,baited,7,1,no_displacement,brown,8,m,shetland_sheepdog,1,LL,AE,0
164,True_Belief_Control,empty,7,1,displacement,brown,4,f,whippet,10,LL,AE,1
